,Commodity,unit,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22,2022–23,2023–24p,Section
1,New South Wales,$’000,89484,91082,89305,99501,106234,113174,102927,98013,95706,102933,State wild-catch fisheries
2,Victoria,$’000,58742,57810,54362,62770,71596,62255,45111,49353,49848,47211,State wild-catch fisheries
3,Queensland,$’000,182209,175897,192909,180199,158942,156059,243095,223765,268561,223004,State wild-catch fisheries
4,South Australia,$’000,240204,264653,253107,264049,276686,232140,199625,196194,203030,214288,State wild-catch fisheries
5,Western Australia,$’000,488420,503939,529336,554472,518668,387975,342157,326662,381254,408424,State wild-catch fisheries
6,Tasmania,$’000,175265,182349,175935,194317,187411,147875,124716,120687,119466,124678,State wild-catch fisheries
7,Northern Territory,$’000,31071,34894,43860,47825,38538,40534,45934,59420,58666,48411,State wild-catch fisheries
8,Total,$’000,1265394,1310625,1338814,1403132,1358075,1140011,1103565,1074094,1176531,1168949,State wild-catch fisheries
10,New South Wales,$’000,55756,60232,64610,70728,76013,84567,89331,94995,103605,98446,Aquaculture a
11,Victoria,$’000,29054,27585,39320,48269,59633,48390,51624,53938,55720,59047,Aquaculture a
12,Queensland,$’000,114058,117300,116500,114200,114500,161100,187430,219010,263166,263270,Aquaculture a
13,South Australia,$’000,227480,251520,230540,205660,211703,228979,200090,237900,267050,212560,Aquaculture a
14,Western Australia,$’000,81186,89636,90453,79240,91712,85131,82242,111008,72363,123005,Aquaculture a
15,Tasmania,$’000,650343,730723,770949,873545,866067,930726,1060345,1189633,1419173,1326996,Aquaculture a
16,Northern Territory,$’000,24100,24522,34447,25551,29966,48064,54340,62470,82312,76654,Aquaculture a
